,ItemLocation,2020-2025,2010-2019,2000-2009,1990-1999,1980-1989,1970-1979,1950-1969,1900-1949,zipcode
1129,NORTHEAST REGIONAL,10.89353312956106,70.85725172502339,12.230478036496772,3.709318025562652,1.1041806449475247,0.4696702368231405,0.39926111842813716,0.4696702368231405,40223
1489,SOUTH CENTRAL REGIONAL,10.091104908936996,64.33498445265813,18.630828157870475,4.5292633661042805,1.1113625506021976,0.45259108395564607,0.38302615808838925,0.45259108395564607,40219
1596,SOUTHWEST BRANCH,11.430698661554787,57.082463286892825,22.406120562763153,5.830452195940164,1.3983500496354364,0.7393968438708793,0.520316297538767,0.7393968438708793,40272
651,MAIN,4.076713237522804,28.01257012793165,27.66057223248446,15.449018923818619,6.424604967430902,5.455824407093715,4.531079326771856,5.455824407093715,40203
1239,PORTLAND,27.455506739146628,52.639809367786135,12.83044158165165,3.015861195919279,1.19889790751359,1.0797527738476433,0.9978404944523049,1.0797527738476433,40212
435,IROQUOIS,13.187175951997204,52.948715459152965,22.58966541740295,7.000407790745092,1.72825601491349,0.8913140571295415,0.6136279783288346,0.8913140571295415,40215
321,HIGHLANDS-SHELBY PARK,20.84366117111995,53.21887436043207,15.78396816372939,5.366685616827743,1.6054576463899943,1.0596930073905628,0.7572484366117112,1.0596930073905628,40204
0,BON AIR REGIONAL,13.14370598591549,54.593970070422536,23.265569982394364,5.738336267605634,1.3781910211267605,0.741362235915493,0.5254181338028169,0.741362235915493,40220
1716,ST. MATTHEWS/ELINE,19.54003382940315,55.22152573451026,17.302744730146543,5.004761701704263,1.3219052492431027,0.6396315722144045,0.47474876693246915,0.6396315722144045,40207
1832,WESTERN,20.545282360564222,36.8140357872701,12.40093704829786,8.50321487314958,3.389323630563724,7.47644918506704,6.115735433384838,7.47644918506704,40203
1322,SHAWNEE,21.00584510472479,54.29046923201818,18.123883747361585,4.046923201818477,0.7671699951290794,0.8077610001623639,0.32878714076960547,0.8077610001623639,40211
117,CRESCENT HILL,19.229204339963832,50.476943942133815,17.32368896925859,6.747287522603979,1.8987341772151898,0.9584086799276673,0.761754068716094,0.9584086799276673,40206
542,JEFFERSONTOWN,16.18152907580478,53.83242471443407,20.63213914849429,5.792445482866042,1.2331256490134994,0.7447429906542056,0.543548805815161,0.7447429906542056,40299
233,FAIRDALE,16.9733367407786,52.34261862168839,20.810971973762673,6.563591447312377,1.1287162449953148,0.7155635062611806,0.4600051111679019,0.7155635062611806,40118
947,MIDDLETOWN,29.78454539710621,52.47993934415873,11.872117267959815,3.6109180514310992,0.9793391040626775,0.4517596512289126,0.33802994882163395,0.4517596512289126,40243
1042,NEWBURG,16.64085659926552,57.50630503075085,19.40179638069112,3.5750630503075094,0.951285341356577,0.7079332772886155,0.5707712048139462,0.7079332772886155,40218
1407,SHIVELY,16.108294096341904,60.28160086925027,16.588192683810213,4.097247374139804,0.9643245201014123,0.7198478812024629,0.3395508873596523,0.7198478812024629,40216
